Name,Developer,Producer,Genre,Operating System,Date Released
A-Men 2,Bloober Team,Bloober Team,"Adventure, Puzzle",Microsoft Windows,"June 24, 2015"
A-Train,Artdink,"Artdink, Maxis, Ocean Software",Vehicle Simulation Game,"Windows, Mac",1985
A-10 Cuba!,Parsoft Interactive,Activision,Flight simulator,"Windows, Mac","November 30, 1996"
A.D. 2044,R.M.P. Software,LK Avalon,Adventure,Microsoft Windows,"September 6, 1996"
A.D.A.M. Life's Greatest Mysteries,Columbia Healthcare Corporation,Columbia Healthcare Corporation,Educational,Microsoft Windows,1996
A.D.A.M. The Inside Story,Columbia Healthcare Corporation,Columbia Healthcare Corporation,Educational,Microsoft Windows,1995
A.R.E.S.: Extinction Agenda,Extend Studio,"Origo Games, Aksys Games","Action, platform",Microsoft Windows,"December 14, 2010"
A Girls Fabric Face,Stanislaw Truchowskit,TurnVex,Adventure,Microsoft Windows,"March 10, 2017"
A Hat in Time,Gears for Breakfast,Gears for Breakfast,"Platform, action-adventure","macOS, Microsoft Windows","October 5, 2017"
A Game of Thrones: Genesis,Cyanide,Focus Home Interactive,Strategy,Microsoft Windows,"September 28, 2011"
"A Passion for Art: Renoir, Cezanne, Matisse, and Dr. Barnes",Corbis Corporation,Corbis Corporation,Fine Art,Microsoft Windows,1995
A to Zap! Featuring the Sunbuddies,ImageBuilder Software,ImageBuilder Software,Educational,"Microsoft Windows, macOS",1995
AaAaAA!!! – A Reckless Disregard for Gravity,Dejobaan Games,Dejobaan Games,Simulation,Microsoft Windows,"September 3, 2009"
Aaero,Mad Fellows,Mad Fellows,"Action, Rhythm/Music",Microsoft Windows,"April 11, 2017"
ABC Sports Indy Racing,Shot Sports Software,ABC Interactive,Racing,Microsoft Windows,1997
ABC Sports Monday Night Football,OT Sports],ABC Interactive,Sports,Microsoft Windows,1996
Abomination: The Nemesis Project,Hothouse Creations,Eidos Interactive,"Action, real-time tactics",Microsoft Windows,1999
Absolute Drift,Funselektor Labs,Funselektor Labs,Racing game,Microsoft Windows,"July 29, 2015"
Absolute Force Online,TQ Digital,NetDragon Websoft Inc.,"First-person shooter, third-person shooter",Microsoft Windows,"November 15, 2012"
Absolver,Sloclap,Devolver Digital,Action role-playing,Microsoft Windows,"August 29, 2017"
Abyss Odyssey,ACE Team,Atlus,"Roguelike, action-adventure",Microsoft Windows,"July 28, 2015"
Abzû,Giant Squid Studios,505 Games,"Adventure, art game, simulation",Microsoft Windows,"August 2, 2019"
Accel World vs. Sword Art Online: Millennium Twilight,Artdink,Bandai Namco Entertainment,Action role-playing,Microsoft Windows,"September 12, 2017"
Acceleration of Suguri X Edition,Orange Juice,Rockin' Android,Fighting,Microsoft Windows,"February 15, 2011"
