id,year,rank,overall_pick,team,player,college,years_active,games,minutes_played,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement
1,1989,1,1,SAC,Pervis Ellison,Louisville,11,474,11593,4494,3170,691,0.51,0.05,0.689,24.5,9.5,6.7,1.5,21.8,0.09,-0.5,4.4
2,1989,2,2,LAC,Danny Ferry,Duke,13,917,18133,6439,2550,1185,0.446,0.393,0.84,19.8,7,2.8,1.3,34.8,0.092,-0.9,4.9
3,1989,3,3,SAS,Sean Elliott,Arizona,12,742,24502,10544,3204,1897,0.465,0.375,0.799,33,14.2,4.3,2.6,55.7,0.109,0.2,13.5
4,1989,4,4,MIA,Glen Rice,Michigan,15,1000,34985,18336,4387,2097,0.456,0.4,0.846,35,18.3,4.4,2.1,88.7,0.122,0.8,24.9
5,1989,5,5,CHH,J.R. Reid,UNC,11,672,15370,5680,3381,639,0.472,0.135,0.716,22.9,8.5,5,1,22.5,0.07,-2.9,-3.7
6,1989,6,6,CHI,Stacey King,Oklahoma,8,438,7406,2819,1460,387,0.478,0.235,0.707,16.9,6.4,3.3,0.9,10.9,0.071,-3.4,-2.7
7,1989,7,7,IND,George McCloud,Florida State,12,766,17429,6925,2342,1769,0.402,0.358,0.81,22.8,9,3.1,2.3,24.6,0.068,-0.8,5.3
8,1989,8,8,DAL,Randy White,Louisiana Tech,5,281,5382,2083,1366,175,0.401,0.193,0.707,19.2,7.4,4.9,0.6,1.9,0.017,-5,-4
9,1989,9,9,WSB,Tom Hammonds,Georgia Tech,12,687,10419,3617,2243,378,0.48,0,0.691,15.2,5.3,3.3,0.6,14.7,0.068,-3.8,-4.7
10,1989,10,10,MIN,Pooh Richardson,UCLA,10,639,19399,7083,1807,4180,0.444,0.329,0.652,30.4,11.1,2.8,6.5,26.7,0.066,0.2,10.5
11,1989,11,11,ORL,Nick Anderson,Illinois,13,800,24922,11529,4064,2087,0.446,0.356,0.667,31.2,14.4,5.1,2.6,55.3,0.106,1.9,24.7
12,1989,12,12,NJN,Mookie Blaylock,Oklahoma,13,889,31026,11962,3659,5972,0.409,0.336,0.736,34.9,13.5,4.1,6.7,71.8,0.111,3,39.2
13,1989,13,13,BOS,Michael Smith,BYU,3,141,1328,698,212,142,0.474,0.15,0.835,9.4,5,1.5,1,1.4,0.049,-3.6,-0.5
14,1989,14,14,GSW,Tim Hardaway,Texas-El Paso,13,867,30626,15373,2855,7095,0.431,0.355,0.782,35.3,17.7,3.3,8.2,85,0.133,3.1,39.6
15,1989,15,15,DEN,Todd Lichti,Stanford,5,237,4240,1870,505,325,0.46,0.244,0.789,17.9,7.9,2.1,1.4,5.6,0.063,-2.5,-0.5
16,1989,16,16,SEA,Dana Barros,Boston College,14,850,19480,8901,1609,2837,0.46,0.411,0.858,22.9,10.5,1.9,3.3,49.6,0.122,1.7,18.1
17,1989,17,17,SEA,Shawn Kemp,Trinity Valley CC,14,1051,29293,15347,8834,1704,0.488,0.277,0.741,27.9,14.6,8.4,1.6,89.5,0.147,0.6,19.4
18,1989,18,18,CHI,B.J. Armstrong,Iowa,11,747,17790,7320,1321,2479,0.477,0.425,0.856,23.8,9.8,1.8,3.3,45,0.121,-0.2,8.1
19,1989,19,19,PHI,Kenny Payne,Louisville,4,144,1167,508,170,61,0.41,0.293,0.859,8.1,3.5,1.2,0.4,-0.1,-0.005,-4.9,-0.9
20,1989,20,20,CHI,Jeff Sanders,Georgia Southern University,4,55,462,112,103,25,0.395,,0.609,8.4,2,1.9,0.5,-0.1,-0.008,-6.3,-0.5
21,1989,21,21,UTA,Blue Edwards,East Carolina University,10,704,18409,7585,2376,1409,0.475,0.335,0.779,26.1,10.8,3.4,2,24.2,0.063,-1.6,1.9
22,1989,22,22,POR,Byron Irvin,Missouri,3,87,849,451,123,73,0.471,0.35,0.722,9.8,5.2,1.4,0.8,2.1,0.121,0.6,0.6
23,1989,23,23,ATL,Roy Marble,Iowa,2,29,194,55,32,12,0.257,0,0.594,6.7,1.9,1.1,0.4,-0.5,-0.122,-8.8,-0.3
24,1989,24,24,PHO,Anthony Cook,Arizona,4,116,1499,418,428,34,0.439,0,0.524,12.9,3.6,3.7,0.3,1,0.033,-3.7,-0.7
25,1989,25,25,CLE,John Morton,Seton Hall,3,128,1879,609,161,342,0.386,0.224,0.787,14.7,4.8,1.3,2.7,0.5,0.013,-3,-0.5
26,1989,26,26,LAL,Vlade Divac,,16,1134,33838,13398,9326,3541,0.495,0.235,0.692,29.8,11.8,8.2,3.1,96.4,0.137,2.3,36.3
27,1989,27,27,DET,Kenny Battle,Illinois,4,134,1795,627,327,106,0.504,0.133,0.725,13.4,4.7,2.4,0.8,3.7,0.098,-0.4,0.7
28,1989,28,28,MIA,Sherman Douglas,Syracuse,12,765,21148,8425,1672,4536,0.484,0.267,0.678,27.6,11,2.2,5.9,32.9,0.075,-0.3,9.2
29,1989,29,29,CHH,Dyron Nix,Tennessee,1,20,109,39,26,5,0.359,,0.688,5.5,2,1.3,0.3,0,-0.015,-5.8,-0.1
30,1989,30,30,MIL,Frank Kornet,Vanderbilt,2,89,595,171,95,30,0.369,0.263,0.596,6.7,1.9,1.1,0.3,0,-0.004,-6.2,-0.6
31,1989,31,31,LAC,Jeff Martin,Murray State,2,143,2685,956,290,109,0.417,0.282,0.694,18.8,6.7,2,0.8,2.1,0.038,-3.2,-0.8
32,1989,32,32,NJN,Stanley Brundy,DePaul,1,16,128,37,26,3,0.5,,0.389,8,2.3,1.6,0.2,0.2,0.057,-3.1,0
33,1989,33,33,LAC,Jay Edwards,Indiana,1,4,26,7,2,4,0.429,0,0.333,6.5,1.8,0.5,1,0,0.022,-4,0
34,1989,34,34,MIN,Gary Leonard,Missouri,3,31,149,44,34,2,0.459,0,0.5,4.8,1.4,1.1,0.1,0.1,0.029,-6.9,-0.2
35,1989,35,35,DAL,Pat Durham,Colorado State,2,64,930,323,108,57,0.469,0.192,0.667,14.5,5,1.7,0.9,0.7,0.037,-2,0
36,1989,36,36,POR,Clifford Robinson,UConn,18,1380,42561,19591,6306,3094,0.438,0.356,0.689,30.8,14.2,4.6,2.2,89.7,0.101,0.5,26.6
37,1989,37,37,ORL,Michael Ansley,Alabama,3,149,2143,1026,621,67,0.513,,0.722,14.4,6.9,4.2,0.4,6.4,0.142,-1,0.6
38,1989,38,38,MIN,Doug West,Villanova,12,676,16649,6477,1670,1292,0.481,0.191,0.801,24.6,9.6,2.5,1.9,17.7,0.051,-3,-4.2
39,1989,39,39,WSB,Ed Horton,Iowa,1,45,374,202,108,19,0.494,0,0.609,8.3,4.5,2.4,0.4,0.4,0.05,-4.9,-0.3
40,1989,40,40,BOS,Dino Radja,,4,224,7308,3733,1883,356,0.497,0,0.735,32.6,16.7,8.4,1.6,14.3,0.094,-0.4,3
41,1989,41,41,WSB,Doug Roth,Tennessee,1,42,412,81,120,20,0.43,0,0.5,9.8,1.9,2.9,0.5,0.4,0.052,-5.3,-0.3
42,1989,42,42,DEN,Michael Cutright,McNeese State University,,,,,,,,,,,,,,,,,
43,1989,43,43,CLE,Chucky Brown,NC State,13,694,11962,4125,2148,549,0.491,0.227,0.699,17.2,5.9,3.1,0.8,19,0.076,-2.7,-2
44,1989,44,44,PHI,Reggie Cross,Hawaii,,,,,,,,,,,,,,,,,
45,1989,45,45,MIA,Scott Haffner,University of Evansville,2,50,609,213,55,89,0.403,0.13,0.667,12.2,4.3,1.1,1.8,-0.1,-0.012,-5.1,-0.5
46,1989,46,46,PHO,Ricky Blanton,LSU,1,2,13,6,3,1,0.429,,,6.5,3,1.5,0.5,0,0.088,-0.3,0
47,1989,47,47,DEN,Reggie Turner,UAB,,,,,,,,,,,,,,,,,
48,1989,48,48,UTA,Junie Lewis,University of South Alabama,,,,,,,,,,,,,,,,,
49,1989,49,49,ATL,Haywoode Workman,Oral Roberts,8,359,7202,1967,819,1410,0.419,0.323,0.764,20.1,5.5,2.3,3.9,10.7,0.071,-0.7,2.4
50,1989,50,50,NYK,Brian Quinnett,Washington State,3,138,1530,474,224,76,0.414,0.326,0.677,11.1,3.4,1.6,0.6,0.9,0.027,-3.7,-0.6
51,1989,51,51,PHO,Mike Morrison,Loyola (MD),1,36,153,72,20,11,0.338,0.286,0.8,4.3,2,0.6,0.3,-0.3,-0.106,-10.5,-0.3
52,1989,52,52,PHO,Greg Grant,Trenton State University,6,274,3350,767,248,751,0.383,0.281,0.71,12.2,2.8,0.9,2.7,1.6,0.023,-2.9,-0.8
