No;Deprem Kodu;Olus tarihi;Olus zamani;Enlem;Boylam;Derinlik;xM;MD;ML;Mw;Ms;Mb;Tip;Yer
1;2.02101E+13;2021.01.01;16:36:21.41;35.9273;27.8658;26.1;3.9;0;3.9;3.7;0;0;Ke;RODOS ADASI (AKDENIZ)
2;2.02012E+13;2020.12.31;00:51:27.94;37.8435;26.7775;8;3.8;0;3.8;3.7;0;0;Ke;EGE DENIZI
3;2.02012E+13;2020.12.30;18:45:12.79;36.4918;28.7092;5;3.9;0;3.7;3.9;0;0;Ke;AKDENIZ
4;2.02012E+13;2020.12.30;13:40:12.22;37.796;26.4165;14.4;4.4;0;4.4;4.3;0;0;Ke;ONIKI ADALAR (AKDENIZ)
5;2.02012E+13;2020.12.27;20:08:36.88;38.4172;39.1482;5;3.9;0;3.7;3.9;0;0;Ke;KAVAKKOY-SIVRICE (ELAZIG) [South West  0.5 km]
6;2.02012E+13;2020.12.27;07:13:55.51;36.475;28.7852;2.8;4.2;0;4.2;4;0;0;Ke;AKDENIZ
7;2.02012E+13;2020.12.27;06:37:31.16;38.505;39.218;2.9;5.6;0;5.6;5.6;0;0;Ke;KAVAKTEPE- (ELAZIG) [South East  1.6 km]
8;2.02012E+13;2020.12.26;11:09:18.51;38.5305;39.2102;5;4.1;0;4;4.1;0;0;Ke;KAVAKTEPE- (ELAZIG) [North East  2.3 km]
9;2.02012E+13;2020.12.26;09:31:18.20;38.0033;42.9642;5;3.9;0;3.8;3.9;0;0;Ke;KORULU-CATAK (VAN) [East 2.0 km]
10;2.02012E+13;2020.12.23;21:13:42.34;36.5213;28.695;13.1;3.7;0;3.7;3.7;0;0;Ke;AKDENIZ
11;2.02012E+13;2020.12.23;11:06:29.65;37.8888;27.6075;3.2;3.7;0;3.6;3.7;0;0;Ke;DAGKARAAGAC-GERMENCIK (AYDIN) [South 1.4 km]
12;2.02012E+13;2020.12.22;12:45:13.34;35.7737;36.447;14.2;3.9;0;3.9;3.9;0;0;Ke;SURIYE
13;2.02012E+13;2020.12.20;04:32:52.39;37.8967;43.8062;5;4.5;0;4.4;4.5;0;0;Ke;AYDEMIR-BASKALE (VAN) [North 2.0 km]
14;2.02012E+13;2020.12.20;03:14:39.70;37.126;28.5738;10.8;4;0;3.9;4;0;0;Ke;ARICILAR-ULA (MUGLA) [North West  2.4 km]
15;2.02012E+13;2020.12.18;09:24:10.70;37.1175;31.0832;104.9;3.7;0;3.7;3.5;0;0;Ke;ETLER-SERIK (ANTALYA) [South East  3.7 km]
16;2.02012E+13;2020.12.18;01:04:04.15;35.7012;26.2608;5.5;3.6;0;3.6;3.4;0;0;Ke;AKDENIZ
17;2.02012E+13;2020.12.17;13:36:44.84;35.7032;26.2382;5.4;4.6;0;4.6;4.6;0;0;Ke;AKDENIZ
18;2.02012E+13;2020.12.15;18:48:36.27;35.704;26.2952;11.3;3.8;0;3.7;3.8;0;0;Ke;AKDENIZ
19;2.02012E+13;2020.12.15;02:46:58.69;35.691;26.2818;9.9;3.9;0;3.9;0;0;0;Ke;AKDENIZ
20;2.02012E+13;2020.12.14;21:58:44.71;38.8573;43.5082;5;4.7;0;4.6;4.7;0;0;Ke;ERMISLER- (VAN) [South 0.9 km]
21;2.02012E+13;2020.12.13;05:25:44.32;37.683;27.0502;6.8;3.5;0;3.4;3.5;0;0;Ke;MILLI PARK-KUSADASI (AYDIN) [North East  1.2 km]
22;2.02012E+13;2020.12.11;14:37:49.33;39.9973;28.2088;10.2;4.1;0;4.1;3.9;0;0;Ke;TASKOPRU-MUSTAFAKEMALPASA (BURSA) [South West  0.7 km]
23;2.02012E+13;2020.12.11;11:01:09.15;35.7147;26.2635;5.6;3.5;0;3.5;3.5;0;0;Ke;AKDENIZ
24;2.02012E+13;2020.12.10;22:26:04.49;40.5017;34.317;5;4;0;3.8;4;0;0;Ke;UCDAM-UGURLUDAG (CORUM) [South West  0.7 km]
25;2.02012E+13;2020.12.10;03:54:42.74;37.832;26.938;11.5;3.7;0;3.7;3.6;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
26;2.02012E+13;2020.12.09;00:44:09.02;37.8425;26.9593;12.6;3.7;0;3.5;3.7;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
27;2.02012E+13;2020.12.09;00:11:26.06;39.5463;28.2153;5.3;3.5;0;3.5;3.3;0;0;Ke;AKCAKERTIL-KEPSUT (BALIKESIR) [South West  1.7 km]
28;2.02012E+13;2020.12.08;22:43:16.09;37.7975;37.3405;2.4;3.6;0;3.6;3.6;0;0;Ke;KUCUKCERIT-CAGLAYANCERIT (KAHRAMANMARAS) [North 3.0 km]
29;2.02012E+13;2020.12.07;11:43:03.97;35.7147;26.313;10.4;3.6;0;3.4;3.6;0;0;Ke;AKDENIZ
30;2.02012E+13;2020.12.07;10:00:04.91;35.7098;26.2897;9.4;3.9;0;3.7;3.9;0;0;Ke;AKDENIZ
31;2.02012E+13;2020.12.06;02:50:39.51;38.004;26.0613;9.3;3.9;0;3.8;3.9;0;0;Ke;EGE DENIZI
32;2.02012E+13;2020.12.06;01:37:04.35;37.1155;34.529;73.6;3.7;0;3.7;3.6;0;0;Ke;ALANYALI-TOROSLAR (MERSIN) [North East  3.1 km]
33;2.02012E+13;2020.12.05;12:44:39.57;35.9943;31.8;98.6;5.5;0;5.5;5.3;0;0;Ke;AKDENIZ
34;2.02012E+13;2020.12.04;09:34:14.64;37.8113;26.7922;4.6;4.1;0;4.1;4.1;0;0;Ke;SISAM ADASI (EGE DENIZI)
35;2.02012E+13;2020.12.04;04:26:21.39;37.8667;26.8972;6.6;3.5;0;3.5;3.5;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
36;2.02012E+13;2020.12.04;03:44:31.68;39.2773;27.7873;8.2;3.5;0;3.5;3.5;0;0;Ke;CERKEZ SULTANIYE-SOMA (MANISA) [South East  2.0 km]
37;2.02012E+13;2020.12.03;05:45:18.86;37.9455;41.7067;9.1;5.2;0;5.2;5;0;0;Ke;KURTALAN (SIIRT) [North 2.1 km]
38;2.02012E+13;2020.12.02;04:25:50.78;39.3142;40.9495;5.1;3.5;0;3.5;3.5;0;0;Ke;TASLICAY-KARLIOVA (BINGOL) [North 4.1 km]
39;2.02012E+13;2020.12.01;19:20:02.01;37.836;26.9603;5.4;3.8;0;3.8;3.8;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
40;2.02011E+13;2020.11.30;13:47:03.80;35.212;36.8703;18.5;4.1;0;4.1;4;0;0;Ke;SURIYE
41;2.02011E+13;2020.11.29;14:55:44.46;37.8477;26.9492;7.6;3.5;0;3.5;3.3;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
42;2.02011E+13;2020.11.29;05:33:20.63;38.8255;40.1482;5;3.7;0;3.6;3.7;0;0;Ke;ISAAGAMEZRASI-KOVANCILAR (ELAZIG) [South East  1.1 km]
43;2.02011E+13;2020.11.28;05:47:23.23;40.0058;41.4043;7;3.5;0;3.5;3.5;0;0;Ke;KUCUKTUY-PASINLER (ERZURUM) [North West  2.8 km]
44;2.02011E+13;2020.11.27;08:27:53.84;38.1997;38.619;2.2;4.9;0;4.9;4.7;0;0;Ke;SOGUTLU-PUTURGE (MALATYA) [South West  2.3 km]
45;2.02011E+13;2020.11.25;01:58:57.98;37.8875;26.9362;7.2;3.5;0;3.5;3.4;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
46;2.02011E+13;2020.11.22;14:40:24.99;40.3057;40.2382;4.4;3.5;0;3.5;3.4;0;0;Ke;TEPETARLA- (BAYBURT) [West 3.1 km]
47;2.02011E+13;2020.11.22;13:59:58.52;35.074;26.5912;7.8;3.5;0;3.4;3.5;0;0;Ke;GIRIT ADASI ACIKLARI (AKDENIZ)
48;2.02011E+13;2020.11.21;19:52:46.91;38.0197;30.9952;7.6;3.8;0;3.7;3.8;0;0;Ke;ESINYURT-GELENDOST (ISPARTA) [East 2.8 km]
49;2.02011E+13;2020.11.21;03:23:55.26;38.5647;40.9805;7.5;3.8;0;3.7;3.8;0;0;Ke;ISLAMKOY-KULP (DIYARBAKIR) [South East  1.5 km]
50;2.02011E+13;2020.11.20;22:29:14.15;38.0195;31;8.2;3.8;0;3.6;3.8;0;0;Ke;YESILKOY-GELENDOST (ISPARTA) [North 2.8 km]
51;2.02011E+13;2020.11.20;20:26:01.71;38.0285;30.9898;7.6;3.5;0;3.4;3.5;0;0;Ke;HACILAR-GELENDOST (ISPARTA) [South East  2.2 km]
52;2.02011E+13;2020.11.20;04:20:41.56;40.4272;28.957;4.8;3.6;0;3.5;3.6;0;0;Ke;GEMLIK KORFEZI (MARMARA DENIZI)
53;2.02011E+13;2020.11.20;01:13:53.65;37.9173;26.653;6.5;3.8;0;3.8;3.7;0;0;Ke;EGE DENIZI
54;2.02011E+13;2020.11.20;00:58:45.69;37.8567;26.9947;7.3;3.8;0;3.8;3.7;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
55;2.02011E+13;2020.11.17;23:05:47.21;40.4947;34.315;5.5;4.1;0;4.1;4.1;0;0;Ke;UCDAM-UGURLUDAG (CORUM) [South West  1.4 km]
56;2.02011E+13;2020.11.17;23:00:53.52;37.7053;27.0598;4.2;3.9;0;3.9;3.8;0;0;Ke;MILLI PARK-KUSADASI (AYDIN) [North East  3.6 km]
57;2.02011E+13;2020.11.17;22:34:24.90;38.1722;38.638;5;3.9;0;3.9;3.9;0;0;Ke;ARITOPRAK-PUTURGE (MALATYA) [South West  3.0 km]
58;2.02011E+13;2020.11.17;17:59:50.68;38.0288;27.078;5.2;3.7;0;3.7;3.5;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
59;2.02011E+13;2020.11.17;00:58:14.85;37.7893;26.4483;10.2;3.7;0;3.7;3.6;0;0;Ke;ONIKI ADALAR (AKDENIZ)
60;2.02011E+13;2020.11.15;16:26:35.81;37.7822;26.3637;6.8;3.5;0;3.5;3.5;0;0;Ke;ONIKI ADALAR (AKDENIZ)
61;2.02011E+13;2020.11.14;21:22:45.87;39.4475;40.2058;5;4.1;0;4;4.1;0;0;Ke;SAMPASAKARADERBENDI-PULUMUR (TUNCELI) [South West  3.6 km]
62;2.02011E+13;2020.11.13;04:53:19.05;37.8267;26.979;14;3.7;0;3.7;3.5;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
63;2.02011E+13;2020.11.12;03:34:15.24;37.8145;26.879;7.1;3.7;0;3.7;3.6;0;0;Ke;SISAM ADASI (EGE DENIZI)
64;2.02011E+13;2020.11.11;23:52:21.59;38.344;39.1105;5;3.5;0;3.5;3.4;0;0;Ke;AKSEKI-SIVRICE (ELAZIG) [South West  1.4 km]
65;2.02011E+13;2020.11.11;06:49:45.40;37.8527;26.968;8;4.7;0;4.7;4.5;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
66;2.02011E+13;2020.11.10;23:16:22.82;37.8477;26.9932;5.8;3.5;0;3.5;3.3;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
67;2.02011E+13;2020.11.10;02:25:12.65;39.0083;27.1558;8.2;4;0;4;3.6;0;0;Ke;CEVAPLI-BERGAMA (IZMIR) [South 1.6 km]
68;2.02011E+13;2020.11.09;20:30:59.47;37.8873;27.0013;11.8;4.1;0;4.1;4.1;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
69;2.02011E+13;2020.11.09;04:20:34.57;37.8535;26.7525;9.6;3.9;0;3.9;3.7;0;0;Ke;EGE DENIZI
70;2.02011E+13;2020.11.08;17:56:50.18;37.8835;26.6113;9.9;3.7;0;3.7;3.7;0;0;Ke;EGE DENIZI
71;2.02011E+13;2020.11.08;09:22:53.71;39.3793;40.7708;2.6;4.2;0;4.1;4.2;0;0;Ke;KAYNARPINAR-KARLIOVA (BINGOL) [East 0.5 km]
72;2.02011E+13;2020.11.07;15:02:24.27;37.8598;26.445;12;3.5;0;3.4;3.5;0;0;Ke;ONIKI ADALAR (AKDENIZ)
73;2.02011E+13;2020.11.07;11:36:08.52;37.8775;26.9697;9.5;3.5;0;3.4;3.5;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
74;2.02011E+13;2020.11.07;00:19:44.05;38.7035;41.9832;1.5;3.5;0;3.4;3.5;0;0;Ke;SARMASIK-KORKUT (MUS) [South East  1.6 km]
75;2.02011E+13;2020.11.06;20:57:26.50;37.7532;26.005;1.9;4.1;0;4;4.1;0;0;Ke;ONIKI ADALAR (AKDENIZ)
76;2.02011E+13;2020.11.06;17:17:57.61;37.9368;26.9403;7.5;3.9;0;3.9;3.8;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
77;2.02011E+13;2020.11.06;15:31:09.40;37.8653;26.8663;5;4;0;4;4;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
78;2.02011E+13;2020.11.06;06:39:24.12;37.8853;26.9305;12.6;3.5;0;3.5;3.4;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
79;2.02011E+13;2020.11.06;01:37:29.27;37.8538;26.9752;7.3;3.5;0;3.3;3.5;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
80;2.02011E+13;2020.11.06;01:31:37.36;39.7615;38.9653;2.9;3.5;0;3.4;3.5;0;0;Ke;DEDEOGLU-KEMAH (ERZINCAN) [North West  2.0 km]
81;2.02011E+13;2020.11.05;23:09:39.22;37.915;26.6635;7.2;3.5;0;3.5;3.5;0;0;Ke;EGE DENIZI
82;2.02011E+13;2020.11.05;23:09:16.34;37.9228;26.966;21.8;3.5;0;3.4;3.5;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
83;2.02011E+13;2020.11.05;22:19:39.37;37.8472;26.8793;11.3;4;0;3.9;4;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
84;2.02011E+13;2020.11.05;18:56:58.83;37.8728;26.9445;12.6;3.5;0;3.3;3.5;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
85;2.02011E+13;2020.11.05;18:11:09.59;37.874;26.9045;9.3;3.7;0;3.5;3.7;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
86;2.02011E+13;2020.11.05;12:40:07.24;37.867;27.2913;7.6;3.6;0;3.5;3.6;0;0;Ke;KUSADASI (AYDIN) [North East  2.8 km]
87;2.02011E+13;2020.11.05;12:02:28.73;37.8043;26.934;8.4;3.6;0;3.4;3.6;0;0;Ke;SISAM ADASI (EGE DENIZI)
88;2.02011E+13;2020.11.05;06:47:03.47;37.8517;26.5018;10.7;3.8;0;3.5;3.8;0;0;Ke;SISAM ADASI (EGE DENIZI)
89;2.02011E+13;2020.11.05;05:46:45.32;40.8353;28.3002;7.3;3.8;0;3.8;3.6;0;0;Ke;MARMARA DENIZI
90;2.02011E+13;2020.11.05;03:25:40.91;37.8533;26.9293;8.9;3.6;0;3.5;3.6;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
91;2.02011E+13;2020.11.04;13:21:30.73;37.5965;26.8732;5;3.8;0;3.6;3.8;0;0;Ke;EGE DENIZI
92;2.02011E+13;2020.11.04;02:24:16.86;37.7225;27.0305;4.1;3.8;0;3.8;3.7;0;0;Ke;SISAM ADASI (EGE DENIZI)
93;2.02011E+13;2020.11.03;23:56:10.19;37.7343;27.0205;4.1;3.5;0;3.4;3.5;0;0;Ke;SISAM ADASI (EGE DENIZI)
94;2.02011E+13;2020.11.03;23:37:44.19;37.751;27.0225;4.7;3.7;0;3.7;3.5;0;0;Ke;SISAM ADASI (EGE DENIZI)
95;2.02011E+13;2020.11.03;23:37:01.17;37.7487;27.0305;5.4;3.5;0;3.5;3.5;0;0;Ke;SISAM ADASI (EGE DENIZI)
96;2.02011E+13;2020.11.03;23:17:06.86;37.7148;26.9975;5.4;4;0;3.9;4;0;0;Ke;SISAM ADASI (EGE DENIZI)
97;2.02011E+13;2020.11.03;20:35:36.26;37.8593;26.423;14.4;4;0;4;3.9;0;0;Ke;ONIKI ADALAR (AKDENIZ)
98;2.02011E+13;2020.11.03;18:03:59.55;37.8757;26.4495;9.9;3.7;0;3.6;3.7;0;0;Ke;EGE DENIZI
99;2.02011E+13;2020.11.03;13:35:32.82;38.7367;39.6515;3.2;3.9;0;3.6;3.9;0;0;Ke;TOPAGAC-KOVANCILAR (ELAZIG) [North West  1.0 km]
100;2.02011E+13;2020.11.03;05:32:52.27;37.8165;26.9932;8.2;3.5;0;3.5;3.3;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
101;2.02011E+13;2020.11.02;19:39:12.03;37.7183;27.0262;10.7;3.6;0;3.6;3.6;0;0;Ke;SISAM ADASI (EGE DENIZI)
102;2.02011E+13;2020.11.02;19:16:38.13;37.832;26.4487;22.1;4.4;0;4.4;4.2;0;0;Ke;ONIKI ADALAR (AKDENIZ)
103;2.02011E+13;2020.11.02;17:05:43.03;37.8323;26.8272;5.1;3.6;0;3.6;3.6;0;0;Ke;SISAM ADASI (EGE DENIZI)
104;2.02011E+13;2020.11.02;16:39:13.63;37.7378;27.032;11.1;3.5;0;3.5;3.5;0;0;Ke;SISAM ADASI (EGE DENIZI)
105;2.02011E+13;2020.11.02;15:37:30.10;37.6425;26.9635;6;3.5;0;3.4;3.5;0;0;Ke;DOGANBEY ACIKLARI-AYDIN (EGE DENIZI)
106;2.02011E+13;2020.11.02;15:09:06.71;37.7418;27.0255;8.5;3.8;0;3.8;0;0;0;Ke;SISAM ADASI (EGE DENIZI)
107;2.02011E+13;2020.11.02;14:54:03.63;37.7253;27.0342;6.9;3.5;0;3.4;3.5;0;0;Ke;SISAM ADASI (EGE DENIZI)
108;2.02011E+13;2020.11.02;12:30:39.94;37.8247;26.7088;9;3.8;0;3.8;3.6;0;0;Ke;EGE DENIZI
109;2.02011E+13;2020.11.02;11:58:03.18;37.8743;26.9135;8.2;4.4;0;4.4;4.3;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
110;2.02011E+13;2020.11.02;07:57:05.84;38.1567;27.3273;4.7;3.8;0;3.8;3.7;0;0;Ke;KAPLANCIK-TORBALI (IZMIR) [South East  3.0 km]
111;2.02011E+13;2020.11.02;06:22:18.72;38.3708;27.6503;7.9;3.7;0;3.7;3.6;0;0;Ke;OVACIK-KEMALPASA (IZMIR) [North West  3.3 km]
112;2.02011E+13;2020.11.02;04:30:07.96;37.8115;26.7153;8.6;3.7;0;3.6;3.7;0;0;Ke;SISAM ADASI (EGE DENIZI)
113;2.02011E+13;2020.11.01;12:57:02.71;37.8532;26.8457;8.9;4.1;0;4.1;4.1;0;0;Ke;SISAM ADASI (EGE DENIZI)
114;2.02011E+13;2020.11.01;08:39:42.75;37.8543;26.898;5;3.7;0;3.7;3.7;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
115;2.02011E+13;2020.11.01;08:33:13.07;37.8088;26.8782;1.2;3.9;0;3.9;3.9;0;0;Ke;SISAM ADASI (EGE DENIZI)
116;2.02011E+13;2020.11.01;07:33:07.42;37.812;26.8845;11.1;4.4;0;4.4;4.3;0;0;Ke;SISAM ADASI (EGE DENIZI)
117;2.02011E+13;2020.11.01;07:05:12.41;37.811;26.9597;8.6;4.5;0;4.5;4.4;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
118;2.02011E+13;2020.11.01;06:07:27.51;37.7848;26.9372;8.4;3.7;0;3.7;3.6;0;0;Ke;SISAM ADASI (EGE DENIZI)
119;2.02011E+13;2020.11.01;05:27:05.39;37.8473;26.9128;5.9;3.9;0;3.9;3.9;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
120;2.02011E+13;2020.11.01;04:53:15.84;37.8587;26.4925;5.6;3.9;0;3.8;3.9;0;0;Ke;SISAM ADASI (EGE DENIZI)
121;2.02011E+13;2020.11.01;02:39:40.74;37.8513;26.8792;3.9;3.6;0;3.6;3.5;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
122;2.02011E+13;2020.11.01;02:24:52.98;37.8472;26.4175;6.3;3.8;0;3.8;3.8;0;0;Ke;ONIKI ADALAR (AKDENIZ)
123;2.02011E+13;2020.11.01;02:21:08.89;37.839;26.4117;6.5;4;0;4;4;0;0;Ke;ONIKI ADALAR (AKDENIZ)
124;2.02011E+13;2020.11.01;01:34:55.18;38.9415;27.1503;8.4;3.5;0;3.5;3.5;0;0;Ke;KIZILTEPE-BERGAMA (IZMIR) [East 1.4 km]
125;2.02011E+13;2020.11.01;00:38:28.06;37.864;26.9553;13.2;3.6;0;3.6;3.6;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
126;2.0201E+13;2020.10.31;23:14:32.27;37.8578;26.402;8.8;3.9;0;3.9;3.9;0;0;Ke;ONIKI ADALAR (AKDENIZ)
127;2.0201E+13;2020.10.31;23:14:09.60;37.6913;27.0347;17.5;3.8;0;3.5;3.8;0;0;Ke;SISAM ADASI (EGE DENIZI)
128;2.0201E+13;2020.10.31;22:25:56.54;37.878;26.9392;8.6;3.9;0;3.9;3.9;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
129;2.0201E+13;2020.10.31;22:13:15.96;37.8647;26.9357;5;3.9;0;3.9;3.9;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
130;2.0201E+13;2020.10.31;22:05:42.60;37.8302;26.9055;14.8;3.8;0;3.8;3.8;0;0;Ke;SISAM ADASI (EGE DENIZI)
131;2.0201E+13;2020.10.31;22:01:10.50;37.8237;26.9135;8.3;3.7;0;3.6;3.7;0;0;Ke;SISAM ADASI (EGE DENIZI)
132;2.0201E+13;2020.10.31;21:43:24.22;37.8242;26.7865;6.7;3.5;0;3.5;3.5;0;0;Ke;EGE DENIZI
133;2.0201E+13;2020.10.31;20:37:50.83;37.7798;27.0118;10.5;3.7;0;3.7;3.7;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
134;2.0201E+13;2020.10.31;20:12:46.30;37.778;27.0158;4.5;3.5;0;3.3;3.5;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
135;2.0201E+13;2020.10.31;19:49:07.76;37.7937;27.0307;6.7;3.8;0;3.7;3.8;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
136;2.0201E+13;2020.10.31;19:31:30.71;37.7822;27.0125;2.6;3.8;0;3.7;3.8;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
137;2.0201E+13;2020.10.31;19:17:18.11;37.8482;26.4468;7.9;3.7;0;3.5;3.7;0;0;Ke;ONIKI ADALAR (AKDENIZ)
138;2.0201E+13;2020.10.31;17:45:10.63;37.8602;26.994;8.6;3.9;0;3.8;3.9;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
139;2.0201E+13;2020.10.31;17:42:11.33;37.7893;26.4335;12.4;3.7;0;3.7;3.6;0;0;Ke;ONIKI ADALAR (AKDENIZ)
140;2.0201E+13;2020.10.31;16:07:28.96;37.8758;26.9637;9.1;3.6;0;3.6;3.6;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
141;2.0201E+13;2020.10.31;16:06:13.64;37.9095;26.7008;9.4;4.1;0;4.1;4;0;0;Ke;EGE DENIZI
142;2.0201E+13;2020.10.31;15:32:48.09;37.8448;26.8453;6.5;3.5;0;3.4;3.5;0;0;Ke;SISAM ADASI (EGE DENIZI)
143;2.0201E+13;2020.10.31;14:56:34.21;37.8233;26.9077;8.3;3.6;0;3.6;3.4;0;0;Ke;SISAM ADASI (EGE DENIZI)
144;2.0201E+13;2020.10.31;14:42:44.03;37.8847;26.4667;4.1;4.3;0;4.2;4.3;0;0;Ke;EGE DENIZI
145;2.0201E+13;2020.10.31;12:37:03.21;37.8883;26.5942;8.5;4.1;0;4.1;3.9;0;0;Ke;EGE DENIZI
146;2.0201E+13;2020.10.31;12:36:19.96;37.8428;26.9223;10.5;3.9;0;3.9;3.9;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
147;2.0201E+13;2020.10.31;11:26:48.78;37.8053;26.8628;1.9;3.6;0;3.6;3.5;0;0;Ke;SISAM ADASI (EGE DENIZI)
148;2.0201E+13;2020.10.31;11:24:28.30;37.8478;26.9258;5.6;3.7;0;3.7;3.7;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
149;2.0201E+13;2020.10.31;11:03:41.59;37.908;26.9632;5.5;3.6;0;3.6;3.4;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
150;2.0201E+13;2020.10.31;08:46:59.05;37.8548;26.4677;8.8;4;0;3.8;4;0;0;Ke;SISAM ADASI (EGE DENIZI)
151;2.0201E+13;2020.10.31;08:41:51.14;37.887;26.9318;10.1;4;0;3.9;4;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
152;2.0201E+13;2020.10.31;08:38:40.72;37.83;26.915;11.3;3.7;0;3.6;3.7;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
153;2.0201E+13;2020.10.31;08:36:37.98;37.8527;26.7617;15.3;3.9;0;3.7;3.9;0;0;Ke;EGE DENIZI
154;2.0201E+13;2020.10.31;07:29:43.21;37.8053;26.4675;11.1;3.5;0;3.5;3.5;0;0;Ke;ONIKI ADALAR (AKDENIZ)
155;2.0201E+13;2020.10.31;06:52:45.34;37.8313;26.826;13.1;3.5;0;3.4;3.5;0;0;Ke;SISAM ADASI (EGE DENIZI)
156;2.0201E+13;2020.10.31;06:34:38.50;37.8403;26.9322;8.9;3.9;0;3.9;3.7;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
157;2.0201E+13;2020.10.31;06:03:12.67;37.8168;26.7897;8.6;3.5;0;3.5;3.4;0;0;Ke;EGE DENIZI
158;2.0201E+13;2020.10.31;05:31:29.01;37.8073;26.7305;5;5.1;0;5;5.1;0;0;Ke;SISAM ADASI (EGE DENIZI)
159;2.0201E+13;2020.10.31;05:22:15.91;37.8058;26.7968;3;3.8;0;3.8;3.8;0;0;Ke;SISAM ADASI (EGE DENIZI)
160;2.0201E+13;2020.10.31;04:28:15.26;37.798;26.9033;12.4;3.7;0;3.7;3.6;0;0;Ke;SISAM ADASI (EGE DENIZI)
161;2.0201E+13;2020.10.31;04:13:38.49;37.9088;26.5217;17.6;4;0;3.8;4;0;0;Ke;EGE DENIZI
162;2.0201E+13;2020.10.31;04:12:55.20;37.8632;26.4527;3.9;4;0;4;3.9;0;0;Ke;ONIKI ADALAR (AKDENIZ)
163;2.0201E+13;2020.10.31;03:07:22.72;37.819;26.8798;6.2;3.5;0;3.5;3.4;0;0;Ke;SISAM ADASI (EGE DENIZI)
164;2.0201E+13;2020.10.31;02:41:07.20;37.88;26.5152;9.4;3.7;0;3.7;3.7;0;0;Ke;EGE DENIZI
165;2.0201E+13;2020.10.31;02:39:19.92;37.8642;26.4442;9.4;3.7;0;3.6;3.7;0;0;Ke;ONIKI ADALAR (AKDENIZ)
166;2.0201E+13;2020.10.31;02:10:25.16;37.8318;26.7598;19;4.2;0;4.1;4.2;0;0;Ke;EGE DENIZI
167;2.0201E+13;2020.10.31;01:59:50.51;37.8325;26.996;5.4;3.8;0;3.7;3.8;0;0;Ke;KUSADASI KORFEZI (EGE DENIZI)
168;2.0201E+13;2020.10.31;01:40:30.96;37.8242;26.4413;5.1;4.2;0;4.2;4.2;0;0;Ke;ONIKI ADALAR (AKDENIZ)
