Date, ALMANYA, ARNAVUTLUK, AVUSTURYA, BELCIKA, BOSNAHERSEK, BULGARISTAN, CEKCUMHURIYETI, DANIMARKA, ESTONYA, FINLANDIYA, FRANSA, GKIBRIS, HIRVATISTAN, HOLLANDA, INGILTERE, IRLANDA, ISPANYA, ISVEC, ISVICRE, ITALYA, IZLANDA, KARADAG, KOSOVA, LETONYA, LITVANYA, LUKSEMBURG, MACARISTAN, MAKEDONYA, MALTA, NORVEC, POLONYA, PORTEKIZ, ROMANYA, SIRBISTAN, SLOVAKYA, SLOVENYA, YUNANISTAN, DAVRUPA, AVRUPATOP, AZERBAYCAN, BELARUS, ERMENISTAN, GURCISTAN, KAZAKISTAN, KIRGIZISTAN, MOLDOVACUM, OZBEKISTAN, RUSYA, TACIKISTAN, TURKMENISTAN, UKRAYNA, BDTTOPLAM, ABD, ARJANTIN, BREZILYA, KANADA, KOLOMBIYA, MEKSIKA, SILI, VENEZUELLA, DAMERIKA, AMERIKATOP, CEZAYIR, FAS, GAFRIKA, LIBYA, MISIR, SUDAN, TUNUS, DAFRIKA, AFRIKATOP, BAE, BAHREYN, BANGLADES, CIN, ENDONEZYA, FILIPINLER, GKORE, HINDISTAN, IRAK, IRAN, ISRAIL, JAPONYA, KKTC, KATAR, KUVEYT, LUBNAN, MALEZYA, PAKISTAN, SINGAPUR, SURIYE, SUUDARABISTAN, TAYLAND, URDUN, YEMEN, DASYA, ASYATOP, AVUSTRALYA, YENIZELLANDA, OKYANUSYA, MILLIYESIZ, GTOPLAM
2008-01-01,17723300.0,281100.0,2020700.0,1238900.0,254600.0,9904800.0,182400.0,561300.0,42600.0,192100.0,3079600.0,29600.0,235400.0,3201200.0,3521500.0,208600.0,772400.0,815600.0,965500.0,2491800.0,7200.0,0.0,0.0,112600.0,107600.0,16400.0,226600.0,548000.0,11400.0,348800.0,454300.0,81000.0,1696600.0,844900.0,88300.0,127900.0,2765600.0,9100.0,55169300.0,2997800.0,176400.0,250000.0,4051700.0,605900.0,385900.0,776900.0,343100.0,5274100.0,296500.0,522100.0,2078900.0,17759300.0,2258100.0,66200.0,144200.0,367000.0,27700.0,72000.0,18500.0,49400.0,159000.0,3162100.0,371900.0,208800.0,58600.0,252600.0,232000.0,32900.0,254100.0,116400.0,1527300.0,56800.0,19400.0,22600.0,384800.0,54500.0,124800.0,1393300.0,282500.0,877100.0,2912000.0,1650000.0,1098500.0,1069600.0,9100.0,27500.0,183600.0,115300.0,185800.0,73600.0,2446400.0,72100.0,56300.0,278700.0,11600.0,292100.0,13698000.0,482300.0,49700.0,300.0,105600.0,91953900.0
2008-02-01,14366600.0,260400.0,1629500.0,1130900.0,234200.0,8270700.0,206400.0,546400.0,51500.0,172300.0,2922800.0,36900.0,173800.0,2356500.0,3338500.0,172300.0,833100.0,580800.0,894700.0,1520400.0,9900.0,0.0,0.0,130900.0,119800.0,15500.0,228100.0,525300.0,11000.0,320300.0,500900.0,99900.0,2194100.0,724800.0,137900.0,137800.0,2199000.0,6000.0,47059900.0,3302800.0,299900.0,358600.0,4382000.0,877700.0,339800.0,932200.0,452000.0,4699900.0,483700.0,540700.0,2147400.0,18816700.0,1856200.0,61200.0,144600.0,298100.0,10700.0,54600.0,55400.0,12500.0,189500.0,2682800.0,282500.0,209400.0,57800.0,187100.0,320100.0,22000.0,221600.0,160000.0,1460500.0,25200.0,16600.0,35700.0,497200.0,48600.0,201800.0,1065200.0,268800.0,1041800.0,3661900.0,1940800.0,1119700.0,1509000.0,10500.0,47800.0,171900.0,167900.0,168500.0,90900.0,2494900.0,149900.0,51600.0,259400.0,29900.0,319100.0,15394600.0,325400.0,39400.0,1100.0,94700.0,85875100.0
2008-03-01,24979700.0,362600.0,2355800.0,2109700.0,295200.0,10287700.0,252400.0,1128800.0,69500.0,414200.0,3683200.0,43500.0,264900.0,3466000.0,4644500.0,359300.0,2766400.0,1124800.0,1336800.0,2580500.0,36700.0,0.0,0.0,205000.0,226200.0,34100.0,308500.0,593000.0,28000.0,842400.0,510000.0,184900.0,2145100.0,844100.0,140800.0,132200.0,4438400.0,14500.0,73209400.0,3711100.0,304000.0,373100.0,4973900.0,807000.0,359700.0,1043300.0,413300.0,5203400.0,616900.0,656200.0,2365400.0,20827300.0,2947900.0,78900.0,131800.0,509000.0,23800.0,143000.0,24800.0,41200.0,185700.0,4086100.0,393600.0,233800.0,107700.0,267200.0,341200.0,33600.0,368400.0,170900.0,1916400.0,60500.0,24700.0,24500.0,401400.0,91000.0,204000.0,871700.0,418000.0,1316500.0,8183700.0,2985800.0,1285800.0,1162100.0,11300.0,25600.0,284200.0,242400.0,180000.0,111700.0,2720300.0,101600.0,100300.0,328000.0,28700.0,407300.0,21571100.0,357100.0,59200.0,6900.0,123300.0,122156800.0
2008-04-01,24253100.0,321900.0,2266800.0,3077200.0,353900.0,11062700.0,419800.0,1087800.0,109800.0,766100.0,7322100.0,52700.0,238400.0,4795000.0,8584100.0,384600.0,2059900.0,1484300.0,1468100.0,3493600.0,62200.0,0.0,0.0,225100.0,340000.0,39400.0,397400.0,798500.0,25900.0,969200.0,954700.0,200600.0,2619400.0,935700.0,195700.0,191000.0,4609900.0,13300.0,86179900.0,3526700.0,413000.0,401100.0,5755400.0,817800.0,347400.0,1165400.0,399100.0,6456500.0,436100.0,682500.0,2956800.0,23357800.0,3892200.0,91600.0,238700.0,739500.0,28300.0,150100.0,52700.0,46900.0,223500.0,5463500.0,489800.0,277400.0,126700.0,317200.0,344100.0,33000.0,287700.0,182600.0,2058500.0,40500.0,23200.0,22400.0,458600.0,114900.0,197100.0,1278200.0,420100.0,1253900.0,6323800.0,5099200.0,1151600.0,1428300.0,15800.0,89600.0,393900.0,184000.0,174600.0,130200.0,2770400.0,207400.0,108100.0,345500.0,33100.0,454700.0,22719100.0,1008400.0,224900.0,7000.0,130400.0,141149500.0
2008-05-01,39972400.0,415600.0,3226500.0,5048300.0,470900.0,14864200.0,928600.0,2600800.0,450800.0,1247900.0,8554900.0,88800.0,299700.0,18331200.0,20334000.0,1193600.0,3193400.0,4748200.0,2243300.0,5849900.0,46300.0,0.0,0.0,695000.0,1442300.0,281300.0,536400.0,804200.0,24200.0,2266700.0,3485500.0,339300.0,3209500.0,1195000.0,281500.0,364900.0,5165600.0,17000.0,154217700.0,3994600.0,1462300.0,475600.0,7067300.0,1268300.0,367800.0,1507400.0,464500.0,28472000.0,387300.0,674000.0,9042800.0,55183900.0,8043000.0,235800.0,515700.0,1857800.0,48800.0,228700.0,109400.0,74400.0,336800.0,11450400.0,528400.0,327400.0,224400.0,337900.0,407300.0,56200.0,413500.0,280700.0,2575800.0,61700.0,32300.0,26700.0,610000.0,150000.0,245600.0,1296000.0,678300.0,1353000.0,8779100.0,4066500.0,1325800.0,1525800.0,15400.0,88400.0,256500.0,261400.0,265900.0,169300.0,3086900.0,202500.0,100500.0,433600.0,44400.0,785400.0,25861000.0,1301100.0,260600.0,1100.0,148100.0,250999700.0
2008-06-01,36414500.0,486200.0,4476200.0,5441500.0,609300.0,14289600.0,2282400.0,2959100.0,464900.0,1256500.0,7648100.0,89800.0,250000.0,9947300.0,28910400.0,1795500.0,3126700.0,5310900.0,1882400.0,7287600.0,206500.0,0.0,0.0,755100.0,1556000.0,60600.0,1013800.0,883000.0,26200.0,3389600.0,4863000.0,405800.0,4722500.0,1524700.0,927800.0,355800.0,5493900.0,23000.0,161136200.0,4223700.0,2681600.0,496600.0,6519200.0,2954200.0,394600.0,1808900.0,526100.0,51498400.0,270300.0,680000.0,10012600.0,82066200.0,7991700.0,236300.0,434000.0,1268400.0,65600.0,278700.0,101200.0,78900.0,496300.0,10951100.0,479200.0,346000.0,222700.0,369500.0,369700.0,93100.0,387400.0,275000.0,2542600.0,145800.0,52000.0,35600.0,528600.0,191400.0,293500.0,990500.0,655100.0,1571400.0,11461500.0,6260700.0,1534800.0,1601000.0,27200.0,170700.0,433800.0,283700.0,319600.0,220000.0,3257200.0,275800.0,77900.0,732900.0,42600.0,665300.0,31828600.0,1302400.0,268700.0,1100.0,197900.0,290294800.0
2008-07-01,51984900.0,971800.0,6917400.0,10271400.0,885400.0,14919400.0,3061700.0,6227100.0,560200.0,1153200.0,8568800.0,202100.0,305700.0,15020700.0,31908700.0,1955500.0,4026600.0,6395300.0,3283800.0,5692500.0,153500.0,0.0,0.0,710400.0,1314000.0,61700.0,1967400.0,1390200.0,28400.0,5371000.0,8822300.0,428600.0,6427200.0,2782000.0,1641100.0,649800.0,5910300.0,28900.0,211999000.0,4500300.0,2847400.0,743400.0,7852700.0,4057700.0,380000.0,1621500.0,646400.0,49283100.0,172000.0,742200.0,11568100.0,84414800.0,8850600.0,182300.0,681000.0,1590300.0,108000.0,486500.0,99500.0,119600.0,569900.0,12687700.0,565200.0,429600.0,308000.0,428000.0,654700.0,69300.0,437500.0,252000.0,3144300.0,520500.0,198700.0,45500.0,598100.0,213900.0,270300.0,996300.0,546400.0,2481700.0,13154000.0,7401800.0,1243400.0,2661100.0,111000.0,491900.0,690800.0,129000.0,327900.0,116700.0,4342600.0,958700.0,77300.0,1533500.0,63500.0,952200.0,40126800.0,1507400.0,333700.0,1700.0,364100.0,354579500.0
2008-08-01,72877400.0,1253400.0,14520500.0,13076900.0,955400.0,15192400.0,2995500.0,5423300.0,494400.0,1271100.0,21413700.0,244900.0,355900.0,26482300.0,40754100.0,2276800.0,6157300.0,7336400.0,3979800.0,11851400.0,124100.0,0.0,0.0,816500.0,1349200.0,186600.0,1745900.0,1751700.0,70100.0,4653200.0,7539800.0,708700.0,7483100.0,3370300.0,1564300.0,512700.0,7837800.0,32000.0,288658900.0,5077000.0,2642200.0,1144800.0,7419400.0,4440200.0,430100.0,1811800.0,776900.0,51984300.0,222900.0,862500.0,12247000.0,89059100.0,7297100.0,173300.0,339400.0,1763500.0,53600.0,213900.0,84400.0,167200.0,1879800.0,11972200.0,1063600.0,785300.0,281100.0,592100.0,987900.0,93800.0,497000.0,319600.0,4620400.0,666200.0,295300.0,26300.0,443600.0,140900.0,275500.0,1184000.0,473300.0,3614000.0,13879800.0,9491900.0,1470900.0,3102400.0,207100.0,779700.0,1094300.0,143900.0,402600.0,84600.0,5232800.0,2497200.0,95400.0,1628500.0,100500.0,841600.0,48172300.0,1787500.0,284200.0,3600.0,449900.0,445008100.0
2008-09-01,53688400.0,898400.0,4999600.0,7913800.0,539600.0,16286100.0,2993300.0,2936200.0,490400.0,1337100.0,9124700.0,94200.0,295900.0,11251600.0,37973300.0,1773400.0,4916900.0,5280100.0,2381900.0,7867100.0,150500.0,0.0,0.0,901800.0,1331500.0,236800.0,1429300.0,853100.0,54500.0,3144200.0,7698700.0,557800.0,7796100.0,2102300.0,1290000.0,485200.0,4600000.0,18800.0,205692600.0,4510200.0,2357800.0,609900.0,8944600.0,2596400.0,432400.0,1440200.0,644300.0,47010800.0,162100.0,756200.0,10540700.0,80005600.0,8197300.0,321700.0,677100.0,2498700.0,94200.0,348300.0,151300.0,138300.0,405900.0,12832800.0,360600.0,191000.0,283700.0,299600.0,241700.0,41500.0,257400.0,226300.0,1901800.0,20300.0,14700.0,30500.0,465200.0,87300.0,218200.0,787100.0,383900.0,1962700.0,7884600.0,5698400.0,1253800.0,1630500.0,6100.0,81700.0,519800.0,137200.0,236900.0,142800.0,3079700.0,249900.0,78000.0,288100.0,26100.0,593100.0,25876600.0,1835200.0,345000.0,2600.0,207600.0,328699800.0
2008-10-01,60136700.0,389000.0,4166800.0,5064100.0,587000.0,12497600.0,1954400.0,3103100.0,467500.0,1798300.0,7260900.0,59000.0,356800.0,15398900.0,28224100.0,913900.0,2918000.0,5097000.0,4823000.0,5917500.0,111000.0,0.0,0.0,849700.0,1064000.0,76700.0,1001300.0,790900.0,27400.0,2714400.0,3801000.0,277800.0,2855300.0,1198200.0,341100.0,445800.0,5352200.0,30000.0,182070400.0,3045300.0,1546700.0,584300.0,8127700.0,1406300.0,422100.0,1017000.0,589600.0,25166000.0,141900.0,781300.0,6569400.0,49397600.0,9892800.0,271800.0,693100.0,2832000.0,76900.0,497600.0,78700.0,139800.0,355200.0,14837900.0,521000.0,350000.0,221500.0,356300.0,581900.0,70400.0,285100.0,239100.0,2625300.0,92200.0,49000.0,42000.0,531900.0,189200.0,300800.0,928400.0,480400.0,2040900.0,11493400.0,6838500.0,1374500.0,1538400.0,26100.0,109400.0,506600.0,297600.0,259200.0,205600.0,3518700.0,405600.0,133100.0,694500.0,47300.0,756200.0,32859500.0,1631500.0,334600.0,1100.0,239400.0,283997300.0
