overall_pick,year,team,player,former,college,years_played,games,win_shares,win_shares_40,minutes_played,points,total_rebounds,assists
1,2022,Atlanta Dream,Rhyne Howard,,Kentucky,1,34,2.9,0.11,31.4,16.2,4.5,2.8
2,2022,Indiana Fever,NaLyssa Smith,,Baylor,1,32,0,-0.001,30.7,13.5,7.9,1.4
3,2022,Washington Mystics,Shakira Austin,,Ole Miss,1,36,3.1,0.16,21.6,8.7,6.5,0.9
4,2022,Indiana Fever,Emily Engstler,,Louisville,1,35,0.4,0.024,18.2,5.2,5.2,1.5
5,2022,New York Liberty,Nyara Sabally,,Oregon,0,,,,,,,
6,2022,Indiana Fever,Lexie Hull,,Stanford,1,26,-0.4,-0.043,12.8,3.8,1.5,0.7
7,2022,Dallas Wings,Veronica Burton,,Northwestern,1,36,0.9,0.065,15.2,2.6,1.5,1.9
8,2022,Minnesota Lynx,Mya Hollingshed,,Colorado,0,,,,,,,
9,2022,Los Angeles Sparks,Rae Burrell,,Tennessee,1,3,-0.1,-0.111,14.7,1.7,1,0.3
10,2022,Indiana Fever,Queen Egbo,,Baylor,1,33,0,0.003,21.8,7.2,6.3,0.9
11,2022,Las Vegas Aces,Kierstan Bell,,Florida Gulf Coast,1,21,-0.1,-0.024,5.8,1.3,0.9,0.3
12,2022,Connecticut Sun,Nia Clouden,,Michigan State,1,28,0.4,0.062,8.9,2.1,0.8,0.8
13,2022,Minnesota Lynx,Khayla Pointer,,LSU,1,10,-0.1,-0.092,5.8,2.2,0.8,0.2
14,2022,Washington Mystics,Christyn Williams,,UConn,0,,,,,,,
15,2022,Atlanta Dream,Naz Hillmon,,Michigan,1,34,1.5,0.087,19.8,4.4,5.1,1.2
16,2022,Los Angeles Sparks,Kianna Smith,,Louisville,1,11,-0.2,-0.054,10.3,2.6,0.8,0.5
17,2022,Seattle Storm,Elissa Cunane,,NC State,1,3,0,0.012,3.3,0.7,1.7,0
18,2022,Seattle Storm,Lorela Cubaj,,Georgia Tech,1,11,0,-0.013,8,0.7,2.1,0.4
19,2022,Los Angeles Sparks,Olivia Nelson-Ododa,,UConn,1,30,0.5,0.044,14.5,4,2.9,0.4
20,2022,Indiana Fever,Destanni Henderson,,South Carolina,1,36,-0.3,-0.018,16.4,5.3,1.6,2.5
21,2022,Seattle Storm,Evina Westbrook,,UConn,1,20,0,0.009,10.3,2.8,1,1.2
22,2022,Minnesota Lynx,Kayla Jones,,NC State,0,,,,,,,
23,2022,Las Vegas Aces,Aisha Sheppard,,Virginia Tech,1,23,-0.2,-0.04,7.6,1.5,0.6,0.3
24,2022,Connecticut Sun,Jordan Lewis,,Baylor,0,,,,,,,
25,2022,Indiana Fever,Meshya Williams-Holliday,,Jackson State University,0,,,,,,,
26,2022,Phoenix Mercury,Maya Dodson,,Notre Dame,0,,,,,,,
27,2022,Los Angeles Sparks,Amy Atwell,,Hawaii,1,4,-0.2,-0.274,8,0.8,0.5,0.5
28,2022,Minnesota Lynx,Hannah Sjerven,,South Dakota,1,3,0,-0.09,3,0,0,0
29,2022,New York Liberty,Sika Koné,Mali,,0,,,,,,,
30,2022,Dallas Wings,Jasmine Dickey,,University of Delaware,1,20,-0.3,-0.143,4.7,1.1,0.6,0.1
31,2022,Dallas Wings,Jazz Bond,,University of North Florida,0,,,,,,,
32,2022,Phoenix Mercury,Macee Williams,,IUPUI,0,,,,,,,
33,2022,Seattle Storm,Jade Melbourne,Australia,,0,,,,,,,
34,2022,Indiana Fever,Ali Patberg,,Indiana,0,,,,,,,
35,2022,Las Vegas Aces,Faustine Aifuwa,,LSU,0,,,,,,,
36,2022,Connecticut Sun,Kiara Smith,,Florida,0,,,,,,,
1,2021,Dallas Wings,Charli Collier,,Texas,2,45,0.5,0.046,9.4,2.9,2.5,0.2
2,2021,Dallas Wings,Awak Kuier,Finland,,2,49,0.5,0.038,11.4,2.6,2.5,0.8
3,2021,Atlanta Dream,Aari McDonald,,Arizona,2,66,2.3,0.068,20.7,8.9,2,2.3
